stimulus_id,condition_id,domain,collab_mode,aesthetic_regime,infrastructure_cue,fictional_brand_name,product_category,stimulus_text
C08_S03,C08,AdCopy,AIOnly,MainstreamCanon,AIDisclosed,,,
C08_S04,C08,AdCopy,AIOnly,MainstreamCanon,AIDisclosed,,,
C08_S05,C08,AdCopy,AIOnly,MainstreamCanon,AIDisclosed,,,
C08_S06,C08,AdCopy,AIOnly,MainstreamCanon,AIDisclosed,,,
C09_S01,C09,AdCopy,AIOnly,SubculturalNiche,NoDisclosure,,,
C09_S02,C09,AdCopy,AIOnly,SubculturalNiche,NoDisclosure,,,
C09_S03,C09,AdCopy,AIOnly,SubculturalNiche,NoDisclosure,,,
C09_S04,C09,AdCopy,AIOnly,SubculturalNiche,NoDisclosure,,,
C09_S05,C09,AdCopy,AIOnly,SubculturalNiche,NoDisclosure,,,
C09_S06,C09,AdCopy,AIOnly,SubculturalNiche,NoDisclosure,,,
C10_S01,C10,AdCopy,AIOnly,SubculturalNiche,AIDisclosed,,,
C10_S02,C10,AdCopy,AIOnly,SubculturalNiche,AIDisclosed,,,
C10_S03,C10,AdCopy,AIOnly,SubculturalNiche,AIDisclosed,,,
C10_S04,C10,AdCopy,AIOnly,SubculturalNiche,AIDisclosed,,,
C10_S05,C10,AdCopy,AIOnly,SubculturalNiche,AIDisclosed,,,
C10_S06,C10,AdCopy,AIOnly,SubculturalNiche,AIDisclosed,,,
C11_S01,C11,AdCopy,AIOnly,DatasetBiased,NoDisclosure,,,
C11_S02,C11,AdCopy,AIOnly,DatasetBiased,NoDisclosure,,,
C11_S03,C11,AdCopy,AIOnly,DatasetBiased,NoDisclosure,,,
C11_S04,C11,AdCopy,AIOnly,DatasetBiased,NoDisclosure,,,
C11_S05,C11,AdCopy,AIOnly,DatasetBiased,NoDisclosure,,,
C11_S06,C11,AdCopy,AIOnly,DatasetBiased,NoDisclosure,,,
C12_S01,C12,AdCopy,AIOnly,DatasetBiased,AIDisclosed,,,
C12_S02,C12,AdCopy,AIOnly,DatasetBiased,AIDisclosed,,,
C12_S03,C12,AdCopy,AIOnly,DatasetBiased,AIDisclosed,,,
C12_S04,C12,AdCopy,AIOnly,DatasetBiased,AIDisclosed,,,
C12_S05,C12,AdCopy,AIOnly,DatasetBiased,AIDisclosed,,,
C12_S06,C12,AdCopy,AIOnly,DatasetBiased,AIDisclosed,,,
C13_S01,C13,AdCopy,HumanAI_Collab,MainstreamCanon,NoDisclosure,,,
C13_S02,C13,AdCopy,HumanAI_Collab,MainstreamCanon,NoDisclosure,,,
C13_S03,C13,AdCopy,HumanAI_Collab,MainstreamCanon,NoDisclosure,,,
C13_S04,C13,AdCopy,HumanAI_Collab,MainstreamCanon,NoDisclosure,,,
C13_S05,C13,AdCopy,HumanAI_Collab,MainstreamCanon,NoDisclosure,,,
C13_S06,C13,AdCopy,HumanAI_Collab,MainstreamCanon,NoDisclosure,,,
C14_S01,C14,AdCopy,HumanAI_Collab,MainstreamCanon,AIDisclosed,,,
C14_S02,C14,AdCopy,HumanAI_Collab,MainstreamCanon,AIDisclosed,,,
C14_S03,C14,AdCopy,HumanAI_Collab,MainstreamCanon,AIDisclosed,,,
C14_S04,C14,AdCopy,HumanAI_Collab,MainstreamCanon,AIDisclosed,,,
C14_S05,C14,AdCopy,HumanAI_Collab,MainstreamCanon,AIDisclosed,,,
C14_S06,C14,AdCopy,HumanAI_Collab,MainstreamCanon,AIDisclosed,,,
C15_S01,C15,AdCopy,HumanAI_Collab,SubculturalNiche,NoDisclosure,,,
C15_S02,C15,AdCopy,HumanAI_Collab,SubculturalNiche,NoDisclosure,,,
C15_S03,C15,AdCopy,HumanAI_Collab,SubculturalNiche,NoDisclosure,,,
C15_S04,C15,AdCopy,HumanAI_Collab,SubculturalNiche,NoDisclosure,,,
C15_S05,C15,AdCopy,HumanAI_Collab,SubculturalNiche,NoDisclosure,,,
C15_S06,C15,AdCopy,HumanAI_Collab,SubculturalNiche,NoDisclosure,,,
C16_S01,C16,AdCopy,HumanAI_Collab,SubculturalNiche,AIDisclosed,,,
C16_S02,C16,AdCopy,HumanAI_Collab,SubculturalNiche,AIDisclosed,,,
C16_S03,C16,AdCopy,HumanAI_Collab,SubculturalNiche,AIDisclosed,,,
C16_S04,C16,AdCopy,HumanAI_Collab,SubculturalNiche,AIDisclosed,,,
C16_S05,C16,AdCopy,HumanAI_Collab,SubculturalNiche,AIDisclosed,,,
C16_S06,C16,AdCopy,HumanAI_Collab,SubculturalNiche,AIDisclosed,,,
C17_S01,C17,AdCopy,HumanAI_Collab,DatasetBiased,NoDisclosure,,,
C17_S02,C17,AdCopy,HumanAI_Collab,DatasetBiased,NoDisclosure,,,
C17_S03,C17,AdCopy,HumanAI_Collab,DatasetBiased,NoDisclosure,,,
C17_S04,C17,AdCopy,HumanAI_Collab,DatasetBiased,NoDisclosure,,,
C17_S05,C17,AdCopy,HumanAI_Collab,DatasetBiased,NoDisclosure,,,
C17_S06,C17,AdCopy,HumanAI_Collab,DatasetBiased,NoDisclosure,,,
C18_S01,C18,AdCopy,HumanAI_Collab,DatasetBiased,AIDisclosed,,,
C18_S02,C18,AdCopy,HumanAI_Collab,DatasetBiased,AIDisclosed,,,
C18_S03,C18,AdCopy,HumanAI_Collab,DatasetBiased,AIDisclosed,,,
C18_S04,C18,AdCopy,HumanAI_Collab,DatasetBiased,AIDisclosed,,,
C18_S05,C18,AdCopy,HumanAI_Collab,DatasetBiased,AIDisclosed,,,
C18_S06,C18,AdCopy,HumanAI_Collab,DatasetBiased,AIDisclosed,,,
