stimulus_id,condition_id,domain,collab_mode,aesthetic_regime,infrastructure_cue,fictional_brand_name,product_category,stimulus_text
C02_S06,C02,AdCopy,HumanOnly,MainstreamCanon,AIDisclosed,Civisa,Electric scooter,"Civisa is designed for people who see electric scooter not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels crafted with deliberate word choice
and a confident human voice, balancing aspiration with approachability. Rather than overpromising,
it focuses on how the product fits naturally into everyday routines.  A tactile detail stands out:
the moment you notice it working quietly in the background, doing exactly what it should, without
asking for attention.

Tagline:
Civisa: Made for how you actually live."
C03_S01,C03,AdCopy,HumanOnly,SubculturalNiche,NoDisclosure,Zenosa,Sparkling beverage,"Zenosa is designed for people who see sparkling beverage not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is edgier language with niche cultural references,
an unconventional voice, and a slightly rebellious tone. It feels crafted with deliberate word
choice and a confident human voice, balancing aspiration with approachability. Rather than
overpromising, it focuses on how the product fits naturally into everyday routines.  A tactile
detail stands out: the moment you notice it working quietly in the background, doing exactly what it
should, without asking for attention.

Tagline:
Zenosa: Made for how you actually live."
C03_S02,C03,AdCopy,HumanOnly,SubculturalNiche,NoDisclosure,Codave,Coffee subscription,"Codave is designed for people who see coffee subscription not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is edgier language with niche cultural references,
an unconventional voice, and a slightly rebellious tone. It feels crafted with deliberate word
choice and a confident human voice, balancing aspiration with approachability. Rather than
overpromising, it focuses on how the product fits naturally into everyday routines.  A tactile
detail stands out: the moment you notice it working quietly in the background, doing exactly what it
should, without asking for attention.

Tagline:
Codave: Made for how you actually live."
C03_S03,C03,AdCopy,HumanOnly,SubculturalNiche,NoDisclosure,Ariati,Streaming audio app,"Ariati is designed for people who see streaming audio app not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is edgier language with niche cultural references,
an unconventional voice, and a slightly rebellious tone. It feels crafted with deliberate word
choice and a confident human voice, balancing aspiration with approachability. Rather than
overpromising, it focuses on how the product fits naturally into everyday routines.  A tactile
detail stands out: the moment you notice it working quietly in the background, doing exactly what it
should, without asking for attention.

Tagline:
Ariati: Made for how you actually live."
C03_S04,C03,AdCopy,HumanOnly,SubculturalNiche,NoDisclosure,Orbila Labs,Eco laundry detergent,"Orbila Labs is designed for people who see eco laundry detergent not as a commodity, but as a small
daily decision that shapes how they live. This campaign speaks to those who value consistency,
texture, and intention in the choices they make.  The copy is edgier language with niche cultural
references, an unconventional voice, and a slightly rebellious tone. It feels crafted with
deliberate word choice and a confident human voice, balancing aspiration with approachability.
Rather than overpromising, it focuses on how the product fits naturally into everyday routines.  A
tactile detail stands out: the moment you notice it working quietly in the background, doing exactly
what it should, without asking for attention.

Tagline:
Orbila Labs: Made for how you actually live."
C03_S05,C03,AdCopy,HumanOnly,SubculturalNiche,NoDisclosure,Novolo,Coffee subscription,"Novolo is designed for people who see coffee subscription not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is edgier language with niche cultural references,
an unconventional voice, and a slightly rebellious tone. It feels crafted with deliberate word
choice and a confident human voice, balancing aspiration with approachability. Rather than
overpromising, it focuses on how the product fits naturally into everyday routines.  A tactile
detail stands out: the moment you notice it working quietly in the background, doing exactly what it
should, without asking for attention.

Tagline:
Novolo: Made for how you actually live."
C03_S06,C03,AdCopy,HumanOnly,SubculturalNiche,NoDisclosure,Evozo &Co,Smart home device,"Evozo &Co is designed for people who see smart home device not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is edgier language with niche cultural references,
an unconventional voice, and a slightly rebellious tone. It feels crafted with deliberate word
choice and a confident human voice, balancing aspiration with approachability. Rather than
overpromising, it focuses on how the product fits naturally into everyday routines.  A tactile
detail stands out: the moment you notice it working quietly in the background, doing exactly what it
should, without asking for attention.

Tagline:
Evozo &Co: Made for how you actually live."
C04_S01,C04,AdCopy,HumanOnly,SubculturalNiche,AIDisclosed,Korave,Fitness studio,"Korave is designed for people who see fitness studio not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is edgier language with niche cultural references,
an unconventional voice, and a slightly rebellious tone. It feels crafted with deliberate word
choice and a confident human voice, balancing aspiration with approachability. Rather than
overpromising, it focuses on how the product fits naturally into everyday routines.  A tactile
detail stands out: the moment you notice it working quietly in the background, doing exactly what it
should, without asking for attention.

Tagline:
Korave: Made for how you actually live."
C04_S02,C04,AdCopy,HumanOnly,SubculturalNiche,AIDisclosed,Nexana,Streaming audio app,"Nexana is designed for people who see streaming audio app not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is edgier language with niche cultural references,
an unconventional voice, and a slightly rebellious tone. It feels crafted with deliberate word
choice and a confident human voice, balancing aspiration with approachability. Rather than
overpromising, it focuses on how the product fits naturally into everyday routines.  A tactile
detail stands out: the moment you notice it working quietly in the background, doing exactly what it
should, without asking for attention.

Tagline:
Nexana: Made for how you actually live."
C04_S03,C04,AdCopy,HumanOnly,SubculturalNiche,AIDisclosed,Ariala Works,Sparkling beverage,"Ariala Works is designed for people who see sparkling beverage not as a commodity, but as a small
daily decision that shapes how they live. This campaign speaks to those who value consistency,
texture, and intention in the choices they make.  The copy is edgier language with niche cultural
references, an unconventional voice, and a slightly rebellious tone. It feels crafted with
deliberate word choice and a confident human voice, balancing aspiration with approachability.
Rather than overpromising, it focuses on how the product fits naturally into everyday routines.  A
tactile detail stands out: the moment you notice it working quietly in the background, doing exactly
what it should, without asking for attention.

Tagline:
Ariala Works: Made for how you actually live."
C04_S04,C04,AdCopy,HumanOnly,SubculturalNiche,AIDisclosed,Lumaxo,Sparkling beverage,"Lumaxo is designed for people who see sparkling beverage not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is edgier language with niche cultural references,
an unconventional voice, and a slightly rebellious tone. It feels crafted with deliberate word
choice and a confident human voice, balancing aspiration with approachability. Rather than
overpromising, it focuses on how the product fits naturally into everyday routines.  A tactile
detail stands out: the moment you notice it working quietly in the background, doing exactly what it
should, without asking for attention.

Tagline:
Lumaxo: Made for how you actually live."
C04_S05,C04,AdCopy,HumanOnly,SubculturalNiche,AIDisclosed,Codave Works,Smart home device,"Codave Works is designed for people who see smart home device not as a commodity, but as a small
daily decision that shapes how they live. This campaign speaks to those who value consistency,
texture, and intention in the choices they make.  The copy is edgier language with niche cultural
references, an unconventional voice, and a slightly rebellious tone. It feels crafted with
deliberate word choice and a confident human voice, balancing aspiration with approachability.
Rather than overpromising, it focuses on how the product fits naturally into everyday routines.  A
tactile detail stands out: the moment you notice it working quietly in the background, doing exactly
what it should, without asking for attention.

Tagline:
Codave Works: Made for how you actually live."
C04_S06,C04,AdCopy,HumanOnly,SubculturalNiche,AIDisclosed,Civimi,Skincare,"Civimi is designed for people who see skincare not as a commodity, but as a small daily decision
that shapes how they live. This campaign speaks to those who value consistency, texture, and
intention in the choices they make.  The copy is edgier language with niche cultural references, an
unconventional voice, and a slightly rebellious tone. It feels crafted with deliberate word choice
and a confident human voice, balancing aspiration with approachability. Rather than overpromising,
it focuses on how the product fits naturally into everyday routines.  A tactile detail stands out:
the moment you notice it working quietly in the background, doing exactly what it should, without
asking for attention.

Tagline:
Civimi: Made for how you actually live."
C05_S01,C05,AdCopy,HumanOnly,DatasetBiased,NoDisclosure,Zenozo,Fitness studio,"Zenozo is designed for people who see fitness studio not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is smooth but generic language that subtly
reflects Western-centric, lifestyle-default assumptions common in large datasets. It feels crafted
with deliberate word choice and a confident human voice, balancing aspiration with approachability.
Rather than overpromising, it focuses on how the product fits naturally into everyday routines.  A
tactile detail stands out: the moment you notice it working quietly in the background, doing exactly
what it should, without asking for attention.

Tagline:
Zenozo: Made for how you actually live."
C05_S02,C05,AdCopy,HumanOnly,DatasetBiased,NoDisclosure,Aerozo,Electric scooter,"Aerozo is designed for people who see electric scooter not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is smooth but generic language that subtly
reflects Western-centric, lifestyle-default assumptions common in large datasets. It feels crafted
with deliberate word choice and a confident human voice, balancing aspiration with approachability.
Rather than overpromising, it focuses on how the product fits naturally into everyday routines.  A
tactile detail stands out: the moment you notice it working quietly in the background, doing exactly
what it should, without asking for attention.

Tagline:
Aerozo: Made for how you actually live."
C05_S03,C05,AdCopy,HumanOnly,DatasetBiased,NoDisclosure,Vitana,DIY furniture,"Vitana is designed for people who see diy furniture not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is smooth but generic language that subtly
reflects Western-centric, lifestyle-default assumptions common in large datasets. It feels crafted
with deliberate word choice and a confident human voice, balancing aspiration with approachability.
Rather than overpromising, it focuses on how the product fits naturally into everyday routines.  A
tactile detail stands out: the moment you notice it working quietly in the background, doing exactly
what it should, without asking for attention.

Tagline:
Vitana: Made for how you actually live."
C05_S04,C05,AdCopy,HumanOnly,DatasetBiased,NoDisclosure,Nexave,Smart home device,"Nexave is designed for people who see smart home device not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is smooth but generic language that subtly
reflects Western-centric, lifestyle-default assumptions common in large datasets. It feels crafted
with deliberate word choice and a confident human voice, balancing aspiration with approachability.
Rather than overpromising, it focuses on how the product fits naturally into everyday routines.  A
tactile detail stands out: the moment you notice it working quietly in the background, doing exactly
what it should, without asking for attention.

Tagline:
Nexave: Made for how you actually live."
C05_S05,C05,AdCopy,HumanOnly,DatasetBiased,NoDisclosure,Kivone,Plant-based snack,"Kivone is designed for people who see plant-based snack not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is smooth but generic language that subtly
reflects Western-centric, lifestyle-default assumptions common in large datasets. It feels crafted
with deliberate word choice and a confident human voice, balancing aspiration with approachability.
Rather than overpromising, it focuses on how the product fits naturally into everyday routines.  A
tactile detail stands out: the moment you notice it working quietly in the background, doing exactly
what it should, without asking for attention.

Tagline:
Kivone: Made for how you actually live."
C05_S06,C05,AdCopy,HumanOnly,DatasetBiased,NoDisclosure,Aerono,Coffee subscription,"Aerono is designed for people who see coffee subscription not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is smooth but generic language that subtly
reflects Western-centric, lifestyle-default assumptions common in large datasets. It feels crafted
with deliberate word choice and a confident human voice, balancing aspiration with approachability.
Rather than overpromising, it focuses on how the product fits naturally into everyday routines.  A
tactile detail stands out: the moment you notice it working quietly in the background, doing exactly
what it should, without asking for attention.

Tagline:
Aerono: Made for how you actually live."
C06_S01,C06,AdCopy,HumanOnly,DatasetBiased,AIDisclosed,Rivona,Smart home device,"Rivona is designed for people who see smart home device not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is smooth but generic language that subtly
reflects Western-centric, lifestyle-default assumptions common in large datasets. It feels crafted
with deliberate word choice and a confident human voice, balancing aspiration with approachability.
Rather than overpromising, it focuses on how the product fits naturally into everyday routines.  A
tactile detail stands out: the moment you notice it working quietly in the background, doing exactly
what it should, without asking for attention.

Tagline:
Rivona: Made for how you actually live."
C06_S02,C06,AdCopy,HumanOnly,DatasetBiased,AIDisclosed,Kivoly Works,Travel service,"Kivoly Works is designed for people who see travel service not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is smooth but generic language that subtly
reflects Western-centric, lifestyle-default assumptions common in large datasets. It feels crafted
with deliberate word choice and a confident human voice, balancing aspiration with approachability.
Rather than overpromising, it focuses on how the product fits naturally into everyday routines.  A
tactile detail stands out: the moment you notice it working quietly in the background, doing exactly
what it should, without asking for attention.

Tagline:
Kivoly Works: Made for how you actually live."
C06_S03,C06,AdCopy,HumanOnly,DatasetBiased,AIDisclosed,Brioly,Eco laundry detergent,"Brioly is designed for people who see eco laundry detergent not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is smooth but generic language that subtly
reflects Western-centric, lifestyle-default assumptions common in large datasets. It feels crafted
with deliberate word choice and a confident human voice, balancing aspiration with approachability.
Rather than overpromising, it focuses on how the product fits naturally into everyday routines.  A
tactile detail stands out: the moment you notice it working quietly in the background, doing exactly
what it should, without asking for attention.

Tagline:
Brioly: Made for how you actually live."
C06_S04,C06,AdCopy,HumanOnly,DatasetBiased,AIDisclosed,Kivoti Studio,Eco laundry detergent,"Kivoti Studio is designed for people who see eco laundry detergent not as a commodity, but as a
small daily decision that shapes how they live. This campaign speaks to those who value consistency,
texture, and intention in the choices they make.  The copy is smooth but generic language that
subtly reflects Western-centric, lifestyle-default assumptions common in large datasets. It feels
crafted with deliberate word choice and a confident human voice, balancing aspiration with
approachability. Rather than overpromising, it focuses on how the product fits naturally into
everyday routines.  A tactile detail stands out: the moment you notice it working quietly in the
background, doing exactly what it should, without asking for attention.

Tagline:
Kivoti Studio: Made for how you actually live."
C06_S05,C06,AdCopy,HumanOnly,DatasetBiased,AIDisclosed,Puraxo,Electric scooter,"Puraxo is designed for people who see electric scooter not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is smooth but generic language that subtly
reflects Western-centric, lifestyle-default assumptions common in large datasets. It feels crafted
with deliberate word choice and a confident human voice, balancing aspiration with approachability.
Rather than overpromising, it focuses on how the product fits naturally into everyday routines.  A
tactile detail stands out: the moment you notice it working quietly in the background, doing exactly
what it should, without asking for attention.

Tagline:
Puraxo: Made for how you actually live."
C06_S06,C06,AdCopy,HumanOnly,DatasetBiased,AIDisclosed,Korazo,Electric scooter,"Korazo is designed for people who see electric scooter not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is smooth but generic language that subtly
reflects Western-centric, lifestyle-default assumptions common in large datasets. It feels crafted
with deliberate word choice and a confident human voice, balancing aspiration with approachability.
Rather than overpromising, it focuses on how the product fits naturally into everyday routines.  A
tactile detail stands out: the moment you notice it working quietly in the background, doing exactly
what it should, without asking for attention.

Tagline:
Korazo: Made for how you actually live."
C07_S01,C07,AdCopy,AIOnly,MainstreamCanon,NoDisclosure,Firaly,Smart home device,"Firaly is designed for people who see smart home device not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels efficiently structured, slightly
formulaic, and optimized for clarity, balancing aspiration with approachability. Rather than
overpromising, it focuses on how the product fits naturally into everyday routines.  A tactile
detail stands out: the moment you notice it working quietly in the background, doing exactly what it
should, without asking for attention.

Tagline:
Firaly: Made for how you actually live."
C07_S02,C07,AdCopy,AIOnly,MainstreamCanon,NoDisclosure,Solana,Smart home device,"Solana is designed for people who see smart home device not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels efficiently structured, slightly
formulaic, and optimized for clarity, balancing aspiration with approachability. Rather than
overpromising, it focuses on how the product fits naturally into everyday routines.  A tactile
detail stands out: the moment you notice it working quietly in the background, doing exactly what it
should, without asking for attention.

Tagline:
Solana: Made for how you actually live."
C07_S03,C07,AdCopy,AIOnly,MainstreamCanon,NoDisclosure,Novola,Travel service,"Novola is designed for people who see travel service not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels efficiently structured, slightly
formulaic, and optimized for clarity, balancing aspiration with approachability. Rather than
overpromising, it focuses on how the product fits naturally into everyday routines.  A tactile
detail stands out: the moment you notice it working quietly in the background, doing exactly what it
should, without asking for attention.

Tagline:
Novola: Made for how you actually live."
C07_S04,C07,AdCopy,AIOnly,MainstreamCanon,NoDisclosure,Lumara Systems,Travel service,"Lumara Systems is designed for people who see travel service not as a commodity, but as a small
daily decision that shapes how they live. This campaign speaks to those who value consistency,
texture, and intention in the choices they make.  The copy is polished, broadly appealing language
with familiar advertising conventions and a reassuring tone. It feels efficiently structured,
slightly formulaic, and optimized for clarity, balancing aspiration with approachability. Rather
than overpromising, it focuses on how the product fits naturally into everyday routines.  A tactile
detail stands out: the moment you notice it working quietly in the background, doing exactly what it
should, without asking for attention.

Tagline:
Lumara Systems: Made for how you actually live."
C07_S05,C07,AdCopy,AIOnly,MainstreamCanon,NoDisclosure,Purana Supply,DIY furniture,"Purana Supply is designed for people who see diy furniture not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels efficiently structured, slightly
formulaic, and optimized for clarity, balancing aspiration with approachability. Rather than
overpromising, it focuses on how the product fits naturally into everyday routines.  A tactile
detail stands out: the moment you notice it working quietly in the background, doing exactly what it
should, without asking for attention.

Tagline:
Purana Supply: Made for how you actually live."
C07_S06,C07,AdCopy,AIOnly,MainstreamCanon,NoDisclosure,Melomi,Plant-based snack,"Melomi is designed for people who see plant-based snack not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels efficiently structured, slightly
formulaic, and optimized for clarity, balancing aspiration with approachability. Rather than
overpromising, it focuses on how the product fits naturally into everyday routines.  A tactile
detail stands out: the moment you notice it working quietly in the background, doing exactly what it
should, without asking for attention.

Tagline:
Melomi: Made for how you actually live."
C08_S01,C08,AdCopy,AIOnly,MainstreamCanon,AIDisclosed,Novogo,DIY furniture,"Novogo is designed for people who see diy furniture not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels efficiently structured, slightly
formulaic, and optimized for clarity, balancing aspiration with approachability. Rather than
overpromising, it focuses on how the product fits naturally into everyday routines.  A tactile
detail stands out: the moment you notice it working quietly in the background, doing exactly what it
should, without asking for attention.

Tagline:
Novogo: Made for how you actually live."
C08_S02,C08,AdCopy,AIOnly,MainstreamCanon,AIDisclosed,Codana Labs,Smart home device,"Codana Labs is designed for people who see smart home device not as a commodity, but as a small
daily decision that shapes how they live. This campaign speaks to those who value consistency,
texture, and intention in the choices they make.  The copy is polished, broadly appealing language
with familiar advertising conventions and a reassuring tone. It feels efficiently structured,
slightly formulaic, and optimized for clarity, balancing aspiration with approachability. Rather
than overpromising, it focuses on how the product fits naturally into everyday routines.  A tactile
detail stands out: the moment you notice it working quietly in the background, doing exactly what it
should, without asking for attention.

Tagline:
Codana Labs: Made for how you actually live."
C08_S03,C08,AdCopy,AIOnly,MainstreamCanon,AIDisclosed,Civipo,Streaming audio app,"Civipo is designed for people who see streaming audio app not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels efficiently structured, slightly
formulaic, and optimized for clarity, balancing aspiration with approachability. Rather than
overpromising, it focuses on how the product fits naturally into everyday routines.  A tactile
detail stands out: the moment you notice it working quietly in the background, doing exactly what it
should, without asking for attention.

Tagline:
Civipo: Made for how you actually live."
C08_S04,C08,AdCopy,AIOnly,MainstreamCanon,AIDisclosed,Vitaxo,Fitness studio,"Vitaxo is designed for people who see fitness studio not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels efficiently structured, slightly
formulaic, and optimized for clarity, balancing aspiration with approachability. Rather than
overpromising, it focuses on how the product fits naturally into everyday routines.  A tactile
detail stands out: the moment you notice it working quietly in the background, doing exactly what it
should, without asking for attention.

Tagline:
Vitaxo: Made for how you actually live."
C08_S05,C08,AdCopy,AIOnly,MainstreamCanon,AIDisclosed,Zenolo,Streaming audio app,"Zenolo is designed for people who see streaming audio app not as a commodity, but as a small daily
decision that shapes how they live. This campaign speaks to those who value consistency, texture,
and intention in the choices they make.  The copy is polished, broadly appealing language with
familiar advertising conventions and a reassuring tone. It feels efficiently structured, slightly
formulaic, and optimized for clarity, balancing aspiration with approachability. Rather than
overpromising, it focuses on how the product fits naturally into everyday routines.  A tactile
detail stands out: the moment you notice it working quietly in the background, doing exactly what it
should, without asking for attention.

Tagline:
Zenolo: Made for how you actually live."
